,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
170,171,Green,0.007880219,0.023302361964152436,3,971.75
171,172,Green,0.019622084000000005,0.015412797319282481,4,1055.7
172,173,Red,-0.007457379,0.025738558909014428,1,1003.91
173,174,Green,0.009347144,0.019004650536324604,2,1053.46
174,175,Red,-0.007885794,0.012463195,3,991.83
175,176,Green,0.005889359,0.014848587902415333,4,1010.83
176,177,Green,0.004097549,0.030443906,1,1033.15
177,178,Green,0.007134954,0.023298176,2,1118.04
178,179,Green,0.002645101,0.017890690983121838,3,1136.22
179,180,Red,-0.001105312,0.027985966874393975,4,1130.26
180,181,Green,0.005050297,0.020746641384092587,1,1155.16
181,182,Green,0.006633231,0.008181658,2,1180.62
182,183,Green,0.00150883,0.016947710605050247,3,1186.53
183,184,Green,0.007530581,0.015275400906200885,4,1253.24
184,185,Green,0.006383302,0.010397863198562552,1,1301.51
185,186,Green,0.007919437,0.026884583518327954,2,1313.73
186,187,Red,-0.003762659,0.011642768482951876,3,1297.47
187,188,Red,-0.012944587,0.01376005,4,1215.48
188,189,Green,0.000738533,0.014262479782709978,1,1244.5
189,190,Green,0.001477467,0.010917265682937105,2,1254.8
190,191,Green,0.00699337,0.007328232,3,1281.99
191,192,Green,0.009529608,0.015128220842859858,4,1339.68
192,193,Red,-0.006228256,0.022162224713632193,1,1339.08
193,194,Red,-0.008715466,0.023925104560738365,2,1201.48
194,195,Green,0.011105028,0.030745879521615508,3,1326.17
195,196,Red,-0.007369724,0.033202550286826206,4,1251.43
196,197,Green,0.008041092,0.008983678,1,1292.57
197,198,Green,-0.006454846,0.010267772835534504,2,1297.77
198,199,Green,0.005095523,0.015492014195004773,3,1334.62
199,200,Red,0.001395589,0.014427945,4,1300
200,201,Green,0.013828804,0.01856931,1,1418.57
201,202,Red,-0.003419285,0.017935582,2,1343.41
202,203,Green,0.006361183,0.010901261355771928,3,1405.74
203,204,Green,0.015986328999999997,0.014175791749457841,4,1494.18
204,205,Red,-0.003061378,0.00841866,1,1480
